"date","federal_state","company","arrivals","nights"
"1975-08","W96-9",81,7403,18491
"1975-08","W96-9",84,280,737
"1975-08","W96-9",75,46,226
"1975-09","W96-9",1,94701,249489
"1975-09","W96-9",2,48577,136614
"1975-09","W96-9",3,31189,83268
"1975-09","W96-9",70,6330,15020
"1975-09","W96-9",81,5386,19861
"1975-09","W96-9",84,258,715
"1975-09","W96-9",75,79,450
"1975-10","W96-9",1,74084,202584
"1975-10","W96-9",2,35074,104220
"1975-10","W96-9",3,24184,67999
"1975-10","W96-9",70,1617,4519
"1975-10","W96-9",81,5000,18352
"1975-10","W96-9",84,294,865
"1975-10","W96-9",75,94,549
"1975-11","W96-9",1,44749,131397
"1975-11","W96-9",2,20412,53576
"1975-11","W96-9",3,13397,38955
"1975-11","W96-9",70,233,856
"1975-11","W96-9",81,2841,10333
"1975-11","W96-9",84,219,734
"1975-11","W96-9",75,102,428
"1975-12","W96-9",1,35591,96317
"1975-12","W96-9",2,17475,48667
"1975-12","W96-9",3,11515,34430
"1975-12","W96-9",70,32,210
"1975-12","W96-9",81,1760,8250
"1975-12","W96-9",84,210,566
"1975-12","W96-9",75,68,453
"1976-01","W96-9",1,28748,82798
"1976-01","W96-9",2,13879,40009
"1976-01","W96-9",3,9914,32853
"1976-01","W96-9",70,38,112
"1976-01","W96-9",81,1628,6265
"1976-01","W96-9",84,143,339
"1976-01","W96-9",75,68,404
"1976-02","W96-9",1,29511,71866
"1976-02","W96-9",2,13200,34318
"1976-02","W96-9",3,8833,28053
"1976-02","W96-9",70,24,164
"1976-02","W96-9",81,1823,5560
"1976-02","W96-9",84,153,379
"1976-02","W96-9",75,87,470
"1976-03","W96-9",1,47735,129150
"1976-03","W96-9",2,22234,60607
"1976-03","W96-9",3,13188,40224
"1976-03","W96-9",70,90,301
"1976-03","W96-9",81,3436,15457
"1976-03","W96-9",84,242,566
"1976-03","W96-9",75,86,478
"1976-04","W96-9",1,57403,158642
"1976-04","W96-9",2,32240,92499
"1976-04","W96-9",3,21823,63064
"1976-04","W96-9",70,1468,4980
"1976-04","W96-9",81,4528,17487
"1976-04","W96-9",84,284,726
"1976-04","W96-9",75,95,479
"1976-05","W96-9",1,77240,217539
"1976-05","W96-9",2,37774,109647
"1976-05","W96-9",3,25891,76345
"1976-05","W96-9",70,3014,8111
"1976-05","W96-9",81,4423,21210
"1976-05","W96-9",84,302,730
"1976-05","W96-9",75,103,571
"1976-06","W96-9",1,69404,206751
"1976-06","W96-9",2,33343,111580
"1976-06","W96-9",3,24046,73244
"1976-06","W96-9",70,8982,21469
"1976-06","W96-9",81,6370,22742
"1976-06","W96-9",84,285,693
"1976-06","W96-9",75,84,425
"1976-07","W96-9",1,85395,225666
"1976-07","W96-9",2,47848,129162
"1976-07","W96-9",3,31725,80558
"1976-07","W96-9",70,22251,55610
"1976-07","W96-9",81,7179,18435
"1976-07","W96-9",84,226,436
"1976-07","W96-9",75,87,431
"1976-08","W96-9",1,88606,233677
"1976-08","W96-9",2,50288,136788
"1976-08","W96-9",3,34053,84725
"1976-08","W96-9",70,22011,57978
"1976-08","W96-9",81,6936,16285
"1976-08","W96-9",84,316,772
"1976-08","W96-9",75,67,409
"1976-09","W96-9",1,100664,273756
"1976-09","W96-9",2,47331,136300
"1976-09","W96-9",3,30334,82956
"1976-09","W96-9",70,5721,13652
"1976-09","W96-9",81,5173,18607
"1976-09","W96-9",84,310,753
"1976-09","W96-9",75,90,516
"1976-10","W96-9",1,72504,210228
"1976-10","W96-9",2,32785,98591
"1976-10","W96-9",3,24977,66398
"1976-10","W96-9",70,1590,4473
"1976-10","W96-9",81,3579,15490
"1976-10","W96-9",84,320,710
"1976-10","W96-9",75,95,498
"1976-11","W96-9",1,45343,121805
"1976-11","W96-9",2,20652,56143
"1976-11","W96-9",3,13014,38557
"1976-11","W96-9",70,260,1577
"1976-11","W96-9",81,2302,9580
"1976-11","W96-9",84,231,823
"1976-11","W96-9",75,93,629
"1976-12","W96-9",1,34897,86709
"1976-12","W96-9",2,16588,45898
"1976-12","W96-9",3,12168,35676
"1976-12","W96-9",70,70,343
"1976-12","W96-9",81,1361,5907
"1976-12","W96-9",84,164,585
"1976-12","W96-9",75,79,497
"1977-01","W96-9",1,29698,77695
"1977-01","W96-9",2,14258,40476
"1977-01","W96-9",3,8906,29561
"1977-01","W96-9",70,15,193
"1977-01","W96-9",81,1552,6373
"1977-01","W96-9",84,151,348
"1977-01","W96-9",75,68,448
"1977-02","W96-9",1,31055,75171
"1977-02","W96-9",2,13544,36348
"1977-02","W96-9",3,9424,30595
"1977-02","W96-9",70,41,462
"1977-02","W96-9",81,1819,6772
"1977-02","W96-9",84,178,391
"1977-02","W96-9",75,75,448
"1977-03","W96-9",1,48154,120626
"1977-03","W96-9",2,23931,65451
"1977-03","W96-9",3,14749,44301
"1977-03","W96-9",70,216,581
"1977-03","W96-9",81,2127,10270
"1977-03","W96-9",84,272,715
"1977-03","W96-9",75,99,531
"1977-04","W96-9",1,59539,173745
"1977-04","W96-9",2,31263,94718
"1977-04","W96-9",3,25374,70324
"1977-04","W96-9",70,1297,4778
"1977-04","W96-9",81,4664,16995
"1977-04","W96-9",84,300,841
"1977-04","W96-9",75,102,444
"1977-05","W96-9",1,84701,239618
"1977-05","W96-9",2,40826,122681
"1977-05","W96-9",3,27942,76903
"1977-05","W96-9",70,3364,9053
"1977-05","W96-9",81,4791,19899
"1977-05","W96-9",84,359,1025
"1977-05","W96-9",75,113,526
"1977-06","W96-9",1,84548,222242
"1977-06","W96-9",2,38348,109612
"1977-06","W96-9",3,30377,79033
"1977-06","W96-9",70,8940,23042
"1977-06","W96-9",81,6281,21348
"1977-06","W96-9",84,286,650
"1977-06","W96-9",75,76,390
"1977-07","W96-9",1,89339,247424
"1977-07","W96-9",2,44697,123074
"1977-07","W96-9",3,31592,87301
"1977-07","W96-9",70,23250,60551
"1977-07","W96-9",81,6815,20242
"1977-07","W96-9",84,271,786
"1977-07","W96-9",75,62,390
"1977-08","W96-9",1,93166,246286
"1977-08","W96-9",2,48302,132166
"1977-08","W96-9",3,32584,85699
"1977-08","W96-9",70,21232,57729
"1977-08","W96-9",81,5547,13118
"1977-08","W96-9",84,275,858
"1977-08","W96-9",75,67,301
"1977-09","W96-9",1,102704,277158
"1977-09","W96-9",2,48931,140820
"1977-09","W96-9",3,31750,83875
"1977-09","W96-9",70,6445,15976
"1977-09","W96-9",81,5218,16965
"1977-09","W96-9",84,300,854
"1977-09","W96-9",75,58,350
"1977-10","W96-9",1,79687,222027
"1977-10","W96-9",2,37008,107086
"1977-10","W96-9",3,25078,69074
"1977-10","W96-9",70,1568,4157
"1977-10","W96-9",81,4524,16874
"1977-10","W96-9",84,267,957
"1977-10","W96-9",75,73,426
"1977-11","W96-9",1,47844,117755
"1977-11","W96-9",2,21739,57030
"1977-11","W96-9",3,14162,39150
"1977-11","W96-9",70,217,674
"1977-11","W96-9",81,2387,9396
"1977-11","W96-9",84,244,829
"1977-11","W96-9",75,88,599
"1977-12","W96-9",1,37168,95387
"1977-12","W96-9",2,17513,47454
"1977-12","W96-9",3,11901,33224
"1977-12","W96-9",70,69,606
"1977-12","W96-9",81,1825,5941
"1977-12","W96-9",84,145,619
"1977-12","W96-9",75,50,330
"1978-01","W96-9",1,31487,83107
"1978-01","W96-9",2,13834,37996
"1978-01","W96-9",3,10205,32265
"1978-01","W96-9",70,46,237
"1978-01","W96-9",81,1726,7010
"1978-01","W96-9",84,166,513
"1978-01","W96-9",75,56,315
"1978-02","W96-9",1,32251,81449
"1978-02","W96-9",2,12617,33447
"1978-02","W96-9",3,8921,30537
"1978-02","W96-9",70,11,38
"1978-02","W96-9",81,1576,6421
"1978-02","W96-9",84,158,426
"1978-02","W96-9",75,75,382
"1978-03","W96-9",1,54072,144693
"1978-03","W96-9",2,25364,70868
"1978-03","W96-9",3,17802,54907
"1978-03","W96-9",70,733,2722
"1978-03","W96-9",81,2919,11901
"1978-03","W96-9",84,237,817
"1978-03","W96-9",75,85,388
"1978-04","W96-9",1,65779,167637
"1978-04","W96-9",2,30823,82330
"1978-04","W96-9",3,20715,57552
"1978-04","W96-9",70,1464,3667
"1978-04","W96-9",81,4586,18234
"1978-04","W96-9",84,301,726
"1978-04","W96-9",75,89,419
"1978-05","W96-9",1,86284,239633
"1978-05","W96-9",2,44372,128474
"1978-05","W96-9",3,28185,79720
"1978-05","W96-9",70,4029,11247
"1978-05","W96-9",81,5481,21958
"1978-05","W96-9",84,293,1007
"1978-05","W96-9",75,81,327
"1978-06","W96-9",1,77409,195228
"1978-06","W96-9",2,38753,107871
"1978-06","W96-9",3,24374,62678
"1978-06","W96-9",70,8697,20069
"1978-06","W96-9",81,5407,21812
"1978-06","W96-9",84,239,805
"1978-06","W96-9",75,87,370
"1978-07","W96-9",1,92958,234726
"1978-07","W96-9",2,46165,125146
"1978-07","W96-9",3,31484,87925
"1978-07","W96-9",70,22735,58903
"1978-07","W96-9",81,6059,19378
"1978-07","W96-9",84,292,916
"1978-07","W96-9",75,72,258
"1978-08","W96-9",1,94972,250688
"1978-08","W96-9",2,49448,138167
"1978-08","W96-9",3,32119,90716
"1978-08","W96-9",70,24126,62936
"1978-08","W96-9",81,5166,12950
"1978-08","W96-9",84,262,998
"1978-08","W96-9",75,62,224
"1978-09","W96-9",1,105075,279207
"1978-09","W96-9",2,50484,147414
"1978-09","W96-9",3,29906,87967
"1978-09","W96-9",70,6269,14993
"1978-09","W96-9",81,4768,15886
"1978-09","W96-9",84,320,1041
"1978-09","W96-9",75,67,342
"1978-10","W96-9",1,79571,221431
"1978-10","W96-9",2,37565,105332
"1978-10","W96-9",3,23371,71882
"1978-10","W96-9",70,1642,4978
"1978-10","W96-9",81,2808,9357
"1978-10","W96-9",84,250,1092
"1978-10","W96-9",75,82,468
"1978-11","W96-9",1,51176,128974
"1978-11","W96-9",2,22797,59865
"1978-11","W96-9",3,14067,43902
"1978-11","W96-9",70,145,622
"1978-11","W96-9",81,1977,6413
"1978-11","W96-9",84,375,1145
"1978-11","W96-9",999,80,557
"1978-12","W96-9",1,38471,98340
"1978-12","W96-9",2,18300,48990
"1978-12","W96-9",3,13297,37518
"1978-12","W96-9",70,65,244
"1978-12","W96-9",81,1481,4830
"1978-12","W96-9",84,208,590
"1978-12","W96-9",999,48,270
"1979-01","W96-9",1,32216,83335
"1979-01","W96-9",2,13012,36466
"1979-01","W96-9",3,9862,32248
"1979-01","W96-9",70,25,113
"1979-01","W96-9",81,1195,3961
"1979-01","W96-9",84,186,402
"1979-01","W96-9",999,74,410
"1979-02","W96-9",1,34358,84925
"1979-02","W96-9",2,13702,35740
"1979-02","W96-9",3,9945,33076
"1979-02","W96-9",70,17,62
"1979-02","W96-9",81,1222,4789
"1979-02","W96-9",84,190,534
"1979-02","W96-9",999,47,304
"1979-03","W96-9",1,50344,128897
"1979-03","W96-9",2,21042,54854
"1979-03","W96-9",3,15679,39266
"1979-03","W96-9",70,212,490
"1979-03","W96-9",81,2410,9237
"1979-03","W96-9",84,215,843
"1979-04","W96-9",1,68489,188636
"1979-04","W96-9",2,32912,93555
"1979-04","W96-9",3,25091,74235
"1979-04","W96-9",70,2047,6376
"1979-04","W96-9",81,2760,8691
"1979-04","W96-9",84,235,771
"1979-05","W96-9",1,85205,228390
"1979-05","W96-9",2,38127,107128
"1979-05","W96-9",3,26403,76157
"1979-05","W96-9",70,3741,10018
"1979-05","W96-9",81,2602,10516
"1979-05","W96-9",84,289,792
"1979-06","W96-9",1,80061,214116
"1979-06","W96-9",2,38528,104295
"1979-06","W96-9",3,29688,77095
"1979-06","W96-9",70,8074,21076
"1979-06","W96-9",81,3178,9884
"1979-06","W96-9",84,292,745
"1979-07","W96-9",1,90142,224119
"1979-07","W96-9",2,45728,119261
"1979-07","W96-9",3,39053,106104
"1979-07","W96-9",70,22216,56000
"1979-07","W96-9",81,7427,17142
"1979-07","W96-9",84,277,783
"1979-08","W96-9",1,103149,270740
"1979-08","W96-9",2,61552,160948
"1979-08","W96-9",3,35805,97996
"1979-08","W96-9",70,26008,66964
"1979-08","W96-9",81,3001,6673
"1979-08","W96-9",84,259,1097
"1979-09","W96-9",1,103576,287934
"1979-09","W96-9",2,56471,150664
"1979-09","W96-9",3,32680,95272
"1979-09","W96-9",70,7155,17777
"1979-09","W96-9",81,2487,7671
"1979-09","W96-9",84,257,867
"1979-10","W96-9",1,87558,236995
"1979-10","W96-9",2,38047,106705
"1979-10","W96-9",3,24850,73537
"1979-10","W96-9",70,3335,9621
"1979-10","W96-9",81,2241,10667
"1979-10","W96-9",84,311,937
"1979-11","W96-9",1,55503,141440
"1979-11","W96-9",2,24487,67068
"1979-11","W96-9",3,14801,45456
"1979-11","W96-9",70,210,694
"1979-11","W96-9",81,2373,10981
"1979-11","W96-9",84,251,614
"1979-12","W96-9",1,38523,100394
"1979-12","W96-9",2,19740,54069
"1979-12","W96-9",3,13827,42824
"1979-12","W96-9",70,59,210
"1979-12","W96-9",81,1635,7481
"1979-12","W96-9",84,177,663
"1980-01","W96-9",1,36583,90380
"1980-01","W96-9",2,14596,39337
"1980-01","W96-9",3,9027,32963
"1980-01","W96-9",70,28,34
"1980-01","W96-9",81,1282,7154
"1980-01","W96-9",84,180,423
"1980-02","W96-9",1,37524,93360
"1980-02","W96-9",2,14798,38218
"1980-02","W96-9",3,10649,33539
"1980-02","W96-9",70,27,127
"1980-02","W96-9",81,1668,7729
"1980-02","W96-9",84,171,372
"1980-03","W96-9",1,51823,128414
"1980-03","W96-9",2,22635,59102
"1980-03","W96-9",3,16552,46341
"1980-03","W96-9",70,146,448
"1980-03","W96-9",81,2228,11472
"1980-04","W96-9",1,71250,188390
"1980-04","W96-9",2,32952,91888
"1980-04","W96-9",3,23036,69749
"1980-04","W96-9",70,320,1241
"1980-04","W96-9",81,2707,11683
"1980-05","W96-9",1,95909,258729
"1980-05","W96-9",2,42933,117567
"1980-05","W96-9",3,28480,79011
"1980-05","W96-9",70,251,1128
"1980-05","W96-9",81,2485,11178
"1980-06","W96-9",1,94391,245401
"1980-06","W96-9",2,42899,111660
"1980-06","W96-9",3,27131,75109
"1980-06","W96-9",70,826,3143
"1980-06","W96-9",81,3098,13454
"1980-07","W96-9",1,105502,261727
"1980-07","W96-9",2,48239,124508
"1980-07","W96-9",3,31929,90264
"1980-07","W96-9",70,22378,59458
"1980-07","W96-9",81,3344,12925
"1980-08","W96-9",1,116031,310451
"1980-08","W96-9",2,60866,155919
"1980-08","W96-9",3,35206,98531
"1980-08","W96-9",70,27640,76761
"1980-08","W96-9",81,3502,8362
"1980-09","W96-9",1,116364,312237
"1980-09","W96-9",2,62249,167048
"1980-09","W96-9",3,32914,94957
"1980-09","W96-9",70,8407,21576
"1980-09","W96-9",81,2950,11787
"1980-10","W96-9",1,83786,238875
"1980-10","W96-9",2,41996,113917
"1980-10","W96-9",3,25386,76302
"1980-10","W96-9",70,5021,12740
"1980-10","W96-9",81,2602,12021
"1980-11","W96-9",1,52673,132588
"1980-11","W96-9",2,21682,54625
"1980-11","W96-9",3,14530,44204
"1980-11","W96-9",70,62,344
"1980-11","W96-9",81,2113,9695
"1980-12","W96-9",1,42785,107468
"1980-12","W96-9",2,20362,50941
"1980-12","W96-9",3,13011,41204
"1980-12","W96-9",70,57,222
"1980-12","W96-9",81,1747,8217
"1981-01","W96-9",1,35534,96895
"1981-01","W96-9",2,13597,38879
"1981-01","W96-9",3,10624,38948
"1981-01","W96-9",81,1654,8410
"1981-02","W96-9",1,37195,92308
"1981-02","W96-9",2,15308,38995
"1981-02","W96-9",3,10197,32118
"1981-02","W96-9",81,1402,7759
"1981-03","W96-9",1,51234,129804
"1981-03","W96-9",2,23312,60668
"1981-03","W96-9",3,16084,48763
"1981-03","W96-9",70,103,214
"1981-03","W96-9",81,2155,10441
"1981-04","W96-9",1,77926,211521
"1981-04","W96-9",2,36601,102276
"1981-04","W96-9",3,22905,69371
"1981-04","W96-9",70,2248,6454
"1981-04","W96-9",81,2542,12086
"1981-05","W96-9",1,96108,279995
"1981-05","W96-9",2,44306,126480
"1981-05","W96-9",3,25368,76354
"1981-05","W96-9",70,4311,11520
"1981-05","W96-9",81,2561,12515
"1981-06","W96-9",1,93497,264522
"1981-06","W96-9",2,43176,114660
"1981-06","W96-9",3,27618,74026
"1981-06","W96-9",70,8416,22980
"1981-06","W96-9",81,3167,11826
"1981-07","W96-9",1,100818,256442
"1981-07","W96-9",2,47126,123656
"1981-07","W96-9",3,38133,85521
"1981-07","W96-9",70,20907,53051
"1981-07","W96-9",81,3748,10103
"1981-08","W96-9",1,115487,311390
"1981-08","W96-9",2,52970,143745
"1981-08","W96-9",3,31272,87452
"1981-08","W96-9",70,27325,73758
"1981-08","W96-9",81,4261,12234
"1981-09","W96-9",1,106418,305470
"1981-09","W96-9",2,63227,171112
"1981-09","W96-9",3,30019,90919
"1981-09","W96-9",70,7644,17873
"1981-09","W96-9",81,2730,10842
"1981-10","W96-9",1,84622,235894
"1981-10","W96-9",2,39118,123451
"1981-10","W96-9",3,23597,69341
"1981-10","W96-9",70,2045,5384
"1981-10","W96-9",81,2798,12761
"1981-11","W96-9",1,56072,145671
"1981-11","W96-9",2,24459,60425
"1981-11","W96-9",3,16279,44297
"1981-11","W96-9",70,30,114
"1981-11","W96-9",81,1770,8901
"1981-12","W96-9",1,47300,119846
"1981-12","W96-9",2,21422,52982
"1981-12","W96-9",3,14290,38095
"1981-12","W96-9",81,1485,7400
"1982-01","W96-9",1,35430,100785
"1982-01","W96-9",2,12691,36014
"1982-01","W96-9",3,8993,27123
"1982-01","W96-9",81,987,6250
"1982-02","W96-9",1,39101,100241
"1982-02","W96-9",2,13654,34780
"1982-02","W96-9",3,9086,26498
"1982-02","W96-9",81,1371,7409
"1982-03","W96-9",1,56817,145607
"1982-03","W96-9",2,22432,56570
"1982-03","W96-9",3,14370,41233
"1982-03","W96-9",70,31,89
"1982-03","W96-9",81,2233,12256
"1982-04","W96-9",1,78895,210845
"1982-04","W96-9",2,35778,95143
"1982-04","W96-9",3,22561,62714
"1982-04","W96-9",70,2119,5883
"1982-04","W96-9",81,2702,12830
"1982-05","W96-9",1,96396,263749
"1982-05","W96-9",2,45228,118591
"1982-05","W96-9",3,24509,68472
"1982-05","W96-9",70,3732,11111
"1982-05","W96-9",81,2620,12601
"1982-05","W96-9",999,6,154
"1982-06","W96-9",1,91799,238794
"1982-06","W96-9",2,43393,116573
"1982-06","W96-9",3,23277,62609
"1982-06","W96-9",70,7952,22155
"1982-06","W96-9",81,2957,13013
"1982-06","W96-9",999,9,402
"1982-07","W96-9",1,106054,270871
"1982-07","W96-9",2,43995,114114
"1982-07","W96-9",3,31799,93301
"1982-07","W96-9",70,20352,52116
"1982-07","W96-9",81,4296,10055
"1982-07","W96-9",999,12,522
"1982-08","W96-9",1,124999,328095
"1982-08","W96-9",2,48889,153949
"1982-08","W96-9",3,31520,83990
"1982-08","W96-9",70,25866,70293
"1982-08","W96-9",81,4228,12638
"1982-09","W96-9",1,120383,325337
"1982-09","W96-9",2,51448,142252
"1982-09","W96-9",3,28239,89885
"1982-09","W96-9",70,6706,18071
"1982-09","W96-9",81,2596,12054
"1982-10","W96-9",1,85673,251798
"1982-10","W96-9",2,41369,113415
"1982-10","W96-9",3,25357,74499
"1982-10","W96-9",70,2168,6162
"1982-10","W96-9",81,2604,12110
"1982-11","W96-9",1,56495,141174
"1982-11","W96-9",2,19360,48651
"1982-11","W96-9",3,13651,36856
"1982-11","W96-9",70,42,127
"1982-11","W96-9",81,1570,7793
"1982-12","W96-9",1,46161,118746
"1982-12","W96-9",2,19924,49126
"1982-12","W96-9",3,13708,39117
"1982-12","W96-9",81,1089,6666
"1983-01","W96-9",1,36864,97059
"1983-01","W96-9",2,13215,37037
"1983-01","W96-9",3,8249,28328
"1983-01","W96-9",81,1216,4391
"1983-02","W96-9",1,37818,93236
"1983-02","W96-9",2,12321,31675
"1983-02","W96-9",3,9976,31679
"1983-02","W96-9",81,1519,4778
"1983-03","W96-9",1,60364,151716
"1983-03","W96-9",2,23865,61745
"1983-03","W96-9",3,17453,50739
"1983-03","W96-9",70,221,536
"1983-03","W96-9",81,2343,9290
"1983-04","W96-9",1,82283,225287
"1983-04","W96-9",2,35801,97777
"1983-04","W96-9",3,23471,57032
"1983-04","W96-9",70,1211,5117
"1983-04","W96-9",81,2990,9856
"1983-05","W96-9",1,99394,283000
"1983-05","W96-9",2,47282,129231
"1983-05","W96-9",3,29223,85948
"1983-05","W96-9",70,5426,14074
"1983-05","W96-9",81,2610,9762
"1983-06","W96-9",1,93437,245512
"1983-06","W96-9",2,41461,108462
"1983-06","W96-9",3,30092,77560
"1983-06","W96-9",70,7202,20390
"1983-06","W96-9",81,2769,9391
"1983-07","W96-9",1,105650,306358
"1983-07","W96-9",2,48933,138200
"1983-07","W96-9",3,37146,113137
"1983-07","W96-9",70,21989,54313
"1983-07","W96-9",81,4123,9975
"1983-08","W96-9",1,111553,308475
"1983-08","W96-9",2,60778,161452
"1983-08","W96-9",3,36871,107700
"1983-08","W96-9",70,25986,65241
"1983-08","W96-9",81,3929,10283
"1983-09","W96-9",1,117533,323548
"1983-09","W96-9",2,57281,158272
"1983-09","W96-9",3,36239,112057
"1983-09","W96-9",70,6723,17836
"1983-09","W96-9",81,2791,9491
"1983-10","W96-9",1,93677,258366
"1983-10","W96-9",2,40326,110436
"1983-10","W96-9",3,24905,71196
"1983-10","W96-9",70,2472,7329
"1983-10","W96-9",81,2829,9401
"1983-11","W96-9",1,63110,157842
"1983-11","W96-9",2,22888,56778
"1983-11","W96-9",3,15339,44438
"1983-11","W96-9",70,68,185
"1983-11","W96-9",81,1672,5778
"1983-12","W96-9",1,50781,129755
"1983-12","W96-9",2,20627,50158
"1983-12","W96-9",3,14674,41901
"1983-12","W96-9",81,1402,4883
"1984-01","W96-9",1,38808,99106
"1984-01","W96-9",2,14576,40137
"1984-01","W96-9",3,9643,30586
"1984-01","W96-9",81,1033,3275
"1984-02","W96-9",1,40893,102119
"1984-02","W96-9",2,14683,37426
"1984-02","W96-9",3,9280,27489
"1984-02","W96-9",81,1128,3537
"1984-02","W96-9",60,64,199
"1984-03","W96-9",1,66843,175053
